"transaction_id","posted_at","fiscal_year","fiscal_period","vendor_name","vendor_id","supplier_country","gl_account","account_name","department","cost_center","region","currency","fx_rate_used","amount_original","amount_usd","debit","credit","invoice_number","po_number","payment_method","posted_by","approved_by","approval_status","document_status","related_party_flag","risk_hint","description"
"TRX-000001","2026-01-02 12:13:00","2026","P01","Nova Cloud Services","V-0030","UK","6600","Legal fees","IT","CC-008","UK","INR","0.012","53250","639","639","0","INV-000037","PO-000031","Manual journal","n.patel","m.lee","approved","missing_sow","N","document_gap","Sample ledger transaction for Nova Cloud Services - Legal fees"
"TRX-000002","2026-01-03 15:26:00","2026","P01","Atlas Hardware","V-0059","APAC","6100","Travel and expense","Legal","CC-015","APAC","EUR","1.08","951.85","1028","1028","0","INV-000074","PO-000062","UPI","rkumar","a.anand","approved","unsigned_invoice","N","sod_review","Sample ledger transaction for Atlas Hardware - Travel and expense"
"TRX-000003","2026-01-04 18:39:00","2026","P01","Keller Logistics","V-0088","India","6600","Legal fees","Executive","CC-022","India","GBP","1.27","1115.75","1417","1417","0","INV-000111","PO-000093","Check","s.iyer","j.martin","approved","pending_registry","N","document_gap","Sample ledger transaction for Keller Logistics - Legal fees"
"TRX-000004","2026-01-05 21:52:00","2026","P01","Metro Office Supply","V-0117","UK","6100","Travel and expense","Operations","CC-029","UK","SGD","0.74","2440.54","1806","1806","0","INV-000148","PO-000124","Corporate card","m.lee","c.reed","approved","manual_override","N","document_gap","Sample ledger transaction for Metro Office Supply - Travel and expense"
"TRX-000005","2026-01-07 00:05:00","2026","P01","Swift Courier","V-0146","APAC","6600","Legal fees","Procurement","CC-036","APAC","USD","1","2195","2195","2195","0","INV-000185","PO-000155","Wire","p.nair","v.shah","approved","duplicate_support","N","document_gap","Sample ledger transaction for Swift Courier - Legal fees"
"TRX-000006","2026-01-08 03:18:00","2026","P01","BluePeak Software","V-0175","India","6100","Travel and expense","Facilities","CC-043","India","INR","0.012","215333.33","2584","2584","0","INV-000222","","ACH","admin","r.menon","approved","complete","N","sod_review","Sample ledger transaction for BluePeak Software - Travel and expense"
"TRX-000007","2026-01-09 06:31:00","2026","P01","Pioneer Freight","V-0204","UK","6600","Legal fees","Sales","CC-050","UK","EUR","1.08","2752.78","2973","2973","0","INV-000259","PO-000217","Manual journal","l.ortiz","n.patel","approved","missing_sow","N","document_gap","Sample ledger transaction for Pioneer Freight - Legal fees"
"TRX-000008","2026-01-09 09:44:00","2026","P01","Crescent Contractors","V-0233","APAC","6100","Travel and expense","HR","CC-057","APAC","GBP","1.27","2647.24","3362","3362","0","INV-000296","PO-000248","UPI","j.martin","p.nair","approved","unsigned_invoice","N","document_gap","Sample ledger transaction for Crescent Contractors - Travel and expense"
"TRX-000009","2026-01-10 12:57:00","2026","P01","AdReach Media","V-0262","India","6600","Legal fees","Marketing","CC-064","India","SGD","0.74","-5068.92","-3751","0","3751","INV-000333","PO-000279","Check","system","m.lee","approved","pending_registry","N","sod_review","Sample ledger transaction for AdReach Media - Legal fees"
"TRX-000010","2026-01-11 15:10:00","2026","P01","Zenith Consulting","V-0291","UK","6100","Travel and expense","Finance","CC-071","UK","USD","1","4140","4140","4140","0","INV-000370","PO-000310","Corporate card","a.anand","a.anand","self_approved","manual_override","N","document_gap","Sample ledger transaction for Zenith Consulting - Travel and expense"
"TRX-000011","2026-01-12 18:23:00","2026","P01","Mehta Family Holdings","V-0320","APAC","6600","Legal fees","IT","CC-078","APAC","INR","0.012","377416.67","4529","4529","0","INV-000407","PO-000341","Wire","n.patel","j.martin","approved","duplicate_support","Y","document_gap","Sample ledger transaction for Mehta Family Holdings - Legal fees"
"TRX-000012","2026-01-13 21:36:00","2026","P01","Vertex Components","V-0029","India","6100","Travel and expense","Legal","CC-005","India","EUR","1.08","4553.7","4918","4918","0","INV-000444","","ACH","rkumar","c.reed","approved","complete","N","sod_review","Sample ledger transaction for Vertex Components - Travel and expense"
"TRX-000013","2026-01-15 00:49:00","2026","P01","Unknown Vendor","V-0058","UK","6600","Legal fees","Executive","CC-012","UK","GBP","1.27","4178.74","5307","5307","0","INV-000481","PO-000403","Manual journal","s.iyer","v.shah","approved","missing_sow","N","document_gap","Sample ledger transaction for Unknown Vendor - Legal fees"
"TRX-000014","2026-01-16 03:02:00","2026","P01","SkyHigh Travel","V-0087","APAC","6100","Travel and expense","Operations","CC-019","APAC","SGD","0.74","7697.3","5696","5696","0","INV-000518","PO-000434","UPI","m.lee","r.menon","manual_override","unsigned_invoice","N","document_gap","Sample ledger transaction for SkyHigh Travel - Travel and expense"
"TRX-000015","2026-01-17 06:15:00","2026","P01","GreenLeaf Facilities","V-0116","India","6600","Legal fees","Procurement","CC-026","India","USD","1","6085","6085","6085","0","INV-000555","PO-000465","Check","p.nair","n.patel","approved","pending_registry","N","document_gap","Sample ledger transaction for GreenLeaf Facilities - Legal fees"
"TRX-000016","2026-01-17 09:28:00","2026","P01","Test Supplier LLC","V-0145","UK","6100","Travel and expense","Facilities","CC-033","UK","INR","0.012","539500","6474","6474","0","INV-000592","PO-000496","Corporate card","admin","p.nair","approved","manual_override","N","sod_review","Sample ledger transaction for Test Supplier LLC - Travel and expense"
"TRX-000017","2026-01-18 12:41:00","2026","P01","Staples Inc","V-0174","APAC","6600","Legal fees","Sales","CC-040","APAC","EUR","1.08","6354.63","6863","6863","0","INV-000629","PO-000527","Wire","l.ortiz","m.lee","approved","duplicate_support","N","document_gap","Sample ledger transaction for Staples Inc - Legal fees"
"TRX-000018","2026-01-19 15:54:00","2026","P01","Omega Legal LLP","V-0203","India","6100","Travel and expense","HR","CC-047","India","GBP","1.27","-5710.24","-7252","0","7252","INV-000666","","ACH","j.martin","a.anand","approved","complete","N","normal","Sample ledger transaction for Omega Legal LLP - Travel and expense"
"TRX-000019","2026-01-20 18:07:00","2026","P01","Rao Family Trust","V-0232","UK","6600","Legal fees","Marketing","CC-054","UK","SGD","0.74","10325.68","7641","7641","0","INV-000703","PO-000589","Manual journal","system","j.martin","approved","missing_sow","Y","sod_review","Sample ledger transaction for Rao Family Trust - Legal fees"
"TRX-000020","2026-01-21 21:20:00","2026","P01","Northstar Advisory","V-0261","APAC","6100","Travel and expense","Finance","CC-061","APAC","USD","1","8030","8030","8030","0","INV-000740","PO-000620","UPI","a.anand","c.reed","approved","unsigned_invoice","N","document_gap","Sample ledger transaction for Northstar Advisory - Travel and expense"
"TRX-000021","2026-01-23 00:33:00","2026","P01","Nova Cloud Services","V-0290","India","6600","Legal fees","IT","CC-068","India","INR","0.012","701583.33","8419","8419","0","INV-000777","PO-000651","Check","n.patel","v.shah","approved","pending_registry","N","document_gap","Sample ledger transaction for Nova Cloud Services - Legal fees"
"TRX-000022","2026-01-24 03:46:00","2026","P01","Atlas Hardware","V-0319","UK","6100","Travel and expense","Legal","CC-075","UK","EUR","1.08","8155.56","8808","8808","0","INV-000814","PO-000682","Corporate card","rkumar","r.menon","approved","manual_override","N","sod_review","Sample ledger transaction for Atlas Hardware - Travel and expense"
"TRX-000023","2026-01-25 06:59:00","2026","P01","Keller Logistics","V-0028","APAC","6600","Legal fees","Executive","CC-002","APAC","GBP","1.27","7241.73","9197","9197","0","INV-000851","PO-000713","Wire","s.iyer","n.patel","approved","duplicate_support","N","document_gap","Sample ledger transaction for Keller Logistics - Legal fees"
"TRX-000024","2026-01-25 09:12:00","2026","P01","Metro Office Supply","V-0057","India","6100","Travel and expense","Operations","CC-009","India","SGD","0.74","12954.05","9586","9586","0","INV-000888","","ACH","m.lee","p.nair","approved","complete","N","normal","Sample ledger transaction for Metro Office Supply - Travel and expense"
"TRX-000025","2026-01-26 12:25:00","2026","P01","Swift Courier","V-0086","UK","6600","Legal fees","Procurement","CC-016","UK","USD","1","9975","9975","9975","0","INV-000925","PO-000775","Manual journal","p.nair","m.lee","approved","missing_sow","N","document_gap","Sample ledger transaction for Swift Courier - Legal fees"
"TRX-000026","2026-01-27 15:38:00","2026","P01","BluePeak Software","V-0115","APAC","6100","Travel and expense","Facilities","CC-023","APAC","INR","0.012","863666.67","10364","10364","0","INV-000962","PO-000806","UPI","admin","a.anand","approved","unsigned_invoice","N","sod_review","Sample ledger transaction for BluePeak Software - Travel and expense"
"TRX-000027","2026-01-28 18:51:00","2026","P01","Pioneer Freight","V-0144","India","6600","Legal fees","Sales","CC-030","India","EUR","1.08","-9956.48","-10753","0","10753","INV-000999","PO-000837","Check","l.ortiz","j.martin","approved","pending_registry","N","document_gap","Sample ledger transaction for Pioneer Freight - Legal fees"
"TRX-000028","2026-01-29 21:04:00","2026","P01","Crescent Contractors","V-0173","UK","6100","Travel and expense","HR","CC-037","UK","GBP","1.27","8773.23","11142","11142","0","INV-001036","PO-000868","Corporate card","j.martin","c.reed","manual_override","manual_override","N","document_gap","Sample ledger transaction for Crescent Contractors - Travel and expense"
"TRX-000029","2026-01-31 00:17:00","2026","P01","AdReach Media","V-0202","APAC","6600","Legal fees","Marketing","CC-044","APAC","SGD","0.74","15582.43","11531","11531","0","INV-001073","PO-000899","Wire","system","v.shah","approved","duplicate_support","N","sod_review","Sample ledger transaction for AdReach Media - Legal fees"
