method,transaction_id,gold_label,prediction,error_type,confidence,category,difficulty,run_error,citations,explanation
logistic_reference,GLB-000087,0,1,false_positive,0.558425,normal,standard,,,logistic regression fitted on the development split; p(risk)=0.5584
logistic_reference,GLB-000475,0,1,false_positive,0.556427,normal,standard,,,logistic regression fitted on the development split; p(risk)=0.5564
logistic_reference,GLB-000515,0,1,false_positive,0.537318,normal,standard,,,logistic regression fitted on the development split; p(risk)=0.5373
logistic_reference,GLB-000459,0,1,false_positive,0.569048,normal,standard,,,logistic regression fitted on the development split; p(risk)=0.5690
logistic_reference,GLB-000338,1,0,false_negative,0.145221,materiality,standard,,,logistic regression fitted on the development split; p(risk)=0.1452
logistic_reference,GLB-000211,0,1,false_positive,0.644323,normal,standard,,,logistic regression fitted on the development split; p(risk)=0.6443
logistic_reference,GLB-000091,0,1,false_positive,0.636448,normal,standard,,,logistic regression fitted on the development split; p(risk)=0.6364
logistic_reference,GLB-000551,0,1,false_positive,0.602322,normal,standard,,,logistic regression fitted on the development split; p(risk)=0.6023
logistic_reference,GLB-000111,0,1,false_positive,0.645333,normal,standard,,,logistic regression fitted on the development split; p(risk)=0.6453
logistic_reference,GLB-000007,0,1,false_positive,0.653459,normal,standard,,,logistic regression fitted on the development split; p(risk)=0.6535
logistic_reference,GLB-000235,0,1,false_positive,0.581059,normal,standard,,,logistic regression fitted on the development split; p(risk)=0.5811
logistic_reference,GLB-000268,1,0,false_negative,0.196451,materiality,standard,,,logistic regression fitted on the development split; p(risk)=0.1965
logistic_reference,GLB-000463,0,1,false_positive,0.604527,normal,standard,,,logistic regression fitted on the development split; p(risk)=0.6045
logistic_reference,GLB-000267,0,1,false_positive,0.581923,normal,standard,,,logistic regression fitted on the development split; p(risk)=0.5819
logistic_reference,GLB-000223,0,1,false_positive,0.629388,normal,standard,,,logistic regression fitted on the development split; p(risk)=0.6294
logistic_reference,GLB-000011,0,1,false_positive,0.638253,normal,standard,,,logistic regression fitted on the development split; p(risk)=0.6383
logistic_reference,GLB-000303,0,1,false_positive,0.631394,normal,standard,,,logistic regression fitted on the development split; p(risk)=0.6314
logistic_reference,GLB-000055,0,1,false_positive,0.572286,normal,standard,,,logistic regression fitted on the development split; p(risk)=0.5723
logistic_reference,GLB-000287,0,1,false_positive,0.670667,normal,standard,,,logistic regression fitted on the development split; p(risk)=0.6707
logistic_reference,GLB-000016,1,0,false_negative,0.246626,materiality,standard,,,logistic regression fitted on the development split; p(risk)=0.2466
