method,status,n,accuracy,accuracy_lo,accuracy_hi,precision,recall,specificity,specificity_lo,specificity_hi,f1,balanced_accuracy,mcc,roc_auc,brier_score,expected_calibration_error,mean_groundedness,mean_citation_correctness,mean_latency_ms,p95_latency_ms,mean_cost_usd,failure_rate
rule_baseline,complete,116,0.715517,0.629310,0.793103,0.638554,0.946429,0.500000,0.368421,0.633333,0.762590,0.723214,0.494454,0.723214,0.195948,0.053448,,,0.002301,0.003424,0.000000,0.000000
logistic_reference,complete,116,0.689655,0.603448,0.775862,0.625000,0.892857,0.500000,0.366667,0.631579,0.735294,0.696429,0.424334,0.680952,0.217886,0.113908,,,0.003850,0.007353,0.000000,0.000000
tree_reference,complete,116,0.689655,0.603448,0.767241,0.619048,0.928571,0.466667,0.333333,0.593220,0.742857,0.697619,0.441890,0.746429,0.196398,0.066397,,,0.003763,0.006725,0.000000,0.000000
single_llm,not_run,,,,,,,,,,,,,,,,,,,,,
full_multi_agent,not_run,,,,,,,,,,,,,,,,,,,,,
no_challenger,not_run,,,,,,,,,,,,,,,,,,,,,
no_defender,not_run,,,,,,,,,,,,,,,,,,,,,
no_verifier,not_run,,,,,,,,,,,,,,,,,,,,,
no_rag,not_run,,,,,,,,,,,,,,,,,,,,,
one_debate_round,not_run,,,,,,,,,,,,,,,,,,,,,
two_debate_rounds,not_run,,,,,,,,,,,,,,,,,,,,,
