method,transaction_id,gold_label,prediction,error_type,confidence,category,difficulty,run_error,citations,explanation
logistic_reference,UCIA-0091,0,1,false_positive,0.562367,cleared_after_flag,hard,,,logistic regression fitted on the development split; p(risk)=0.5624
logistic_reference,UCIA-0254,0,1,false_positive,0.586674,cleared_after_flag,hard,,,logistic regression fitted on the development split; p(risk)=0.5867
logistic_reference,UCIA-0275,0,1,false_positive,0.94824,cleared_after_flag,hard,,,logistic regression fitted on the development split; p(risk)=0.9482
logistic_reference,UCIA-0292,0,1,false_positive,0.66173,cleared_after_flag,hard,,,logistic regression fitted on the development split; p(risk)=0.6617
logistic_reference,UCIA-0296,1,0,false_negative,0.321851,misstatement_value,standard,,,logistic regression fitted on the development split; p(risk)=0.3219
logistic_reference,UCIA-0369,1,0,false_negative,0.146438,misstatement_value,standard,,,logistic regression fitted on the development split; p(risk)=0.1464
logistic_reference,UCIA-0379,0,1,false_positive,0.620092,cleared_after_flag,hard,,,logistic regression fitted on the development split; p(risk)=0.6201
logistic_reference,UCIA-0463,0,1,false_positive,0.738527,cleared_after_flag,hard,,,logistic regression fitted on the development split; p(risk)=0.7385
logistic_reference,UCIA-0555,1,0,false_negative,0.014751,misstatement_value,standard,,,logistic regression fitted on the development split; p(risk)=0.0148
logistic_reference,UCIA-0601,1,0,false_negative,0.203185,misstatement_value,borderline,,,logistic regression fitted on the development split; p(risk)=0.2032
logistic_reference,UCIA-0610,0,1,false_positive,0.529845,cleared_after_flag,hard,,,logistic regression fitted on the development split; p(risk)=0.5298
logistic_reference,UCIA-0611,0,1,false_positive,0.564811,cleared_after_flag,hard,,,logistic regression fitted on the development split; p(risk)=0.5648
logistic_reference,UCIA-0690,1,0,false_negative,0.338444,unplanned_para_discrepancy,standard,,,logistic regression fitted on the development split; p(risk)=0.3384
rule_baseline,UCIA-0009,0,1,false_positive,0.39999999999999997,cleared_after_flag,hard,,UCIA-0009:prior-screen,pre-audit screen flagged the case
rule_baseline,UCIA-0018,0,1,false_positive,0.3666666666666667,cleared_after_flag,hard,,UCIA-0018:prior-screen,pre-audit screen flagged the case
rule_baseline,UCIA-0021,0,1,false_positive,0.43333333333333335,cleared_after_flag,hard,,UCIA-0021:prior-screen,pre-audit screen flagged the case
rule_baseline,UCIA-0079,0,1,false_positive,0.43333333333333335,cleared_after_flag,hard,,UCIA-0079:prior-screen,pre-audit screen flagged the case
rule_baseline,UCIA-0091,0,1,false_positive,0.39999999999999997,cleared_after_flag,hard,,UCIA-0091:prior-screen,pre-audit screen flagged the case
rule_baseline,UCIA-0185,0,1,false_positive,0.3666666666666667,cleared_after_flag,hard,,UCIA-0185:prior-screen,pre-audit screen flagged the case
rule_baseline,UCIA-0187,0,1,false_positive,0.3666666666666667,cleared_after_flag,hard,,UCIA-0187:prior-screen,pre-audit screen flagged the case
rule_baseline,UCIA-0201,0,1,false_positive,0.39999999999999997,cleared_after_flag,hard,,UCIA-0201:prior-screen,pre-audit screen flagged the case
rule_baseline,UCIA-0215,0,1,false_positive,0.3666666666666667,cleared_after_flag,hard,,UCIA-0215:prior-screen,pre-audit screen flagged the case
rule_baseline,UCIA-0232,0,1,false_positive,0.39999999999999997,cleared_after_flag,hard,,UCIA-0232:prior-screen,pre-audit screen flagged the case
