transaction_id,failure_type,risk_category,amount_usd,prediction,label,confidence,error
GLB-000513,false_positive,hard_negative,89220.90,1,0,0.65,
GLB-000349,false_positive,hard_negative,65590.13,1,0,0.65,
GLB-000281,false_positive,hard_negative,80671.67,1,0,0.65,
GLB-000061,false_positive,hard_negative,172153.20,1,0,0.65,
GLB-000217,false_positive,hard_negative,121622.51,1,0,0.65,
GLB-000488,false_negative,borderline,49445.15,0,1,0.25,
GLB-000509,false_positive,hard_negative,86083.17,1,0,0.65,
GLB-000537,false_positive,hard_negative,146648.93,1,0,0.65,
GLB-000489,false_positive,hard_negative,177665.44,1,0,0.65,
GLB-000133,false_positive,hard_negative,69517.09,1,0,0.65,
GLB-000449,false_positive,hard_negative,160616.93,1,0,0.65,
GLB-000413,false_positive,hard_negative,152204.58,1,0,0.65,
GLB-000337,false_positive,hard_negative,140978.85,1,0,0.65,
GLB-000057,false_positive,hard_negative,139459.64,1,0,0.65,
GLB-000253,false_positive,hard_negative,165844.96,1,0,0.65,
GLB-000040,false_negative,borderline,48534.92,0,1,0.25,
GLB-000201,false_positive,hard_negative,141502.42,1,0,0.65,
GLB-000597,false_positive,hard_negative,93293.63,1,0,0.65,
GLB-000581,false_positive,hard_negative,73847.25,1,0,0.65,
GLB-000477,false_positive,hard_negative,104237.49,1,0,0.65,
GLB-000313,false_positive,hard_negative,132198.02,1,0,0.65,
GLB-000390,false_negative,borderline,47878.53,0,1,0.25,
GLB-000457,false_positive,hard_negative,151292.13,1,0,0.65,
GLB-000089,false_positive,hard_negative,60796.53,1,0,0.65,
GLB-000145,false_positive,hard_negative,174047.33,1,0,0.65,
GLB-000389,false_positive,hard_negative,128852.85,1,0,0.65,
GLB-000073,false_positive,hard_negative,68738.58,1,0,0.65,
GLB-000241,false_positive,hard_negative,173915.40,1,0,0.65,
GLB-000585,false_positive,hard_negative,142763.42,1,0,0.65,
GLB-000065,false_positive,hard_negative,156691.61,1,0,0.65,
GLB-000445,false_positive,hard_negative,135998.05,1,0,0.65,
GLB-000021,false_positive,hard_negative,72447.16,1,0,0.65,
GLB-000301,false_positive,hard_negative,152596.61,1,0,0.65,
