transaction_id,source_row_index,location_id,sector_score,para_a_discrepancy_cr,para_b_discrepancy_cr,total_discrepancy_cr,discrepancy_count,money_value_cr,district_loss_score,history_score,prior_screen_flag,prior_screen_score,risk_label,label_source,risk_category,difficulty,evidence_ids,split,dataset_version,generator_version
UCIA-0000,0,23,3.89,4.18,2.5,6.68,5,3.38,2,0,1,2.4,1,uci_audit_office_post_audit_finding,planned_para_discrepancy,standard,UCIA-0000:discrepancy-count;UCIA-0000:history;UCIA-0000:money-value;UCIA-0000:para-a;UCIA-0000:para-b;UCIA-0000:prior-screen;UCIA-0000:sector,development,uci-audit-v1,1.0.0
UCIA-0001,1,6,3.89,0.0,4.83,4.83,5,0.94,2,0,0,2.0,0,uci_audit_office_post_audit_finding,not_flagged,easy,UCIA-0001:discrepancy-count;UCIA-0001:history;UCIA-0001:money-value;UCIA-0001:para-a;UCIA-0001:para-b;UCIA-0001:prior-screen;UCIA-0001:sector,development,uci-audit-v1,1.0.0
UCIA-0002,2,6,3.89,0.51,0.23,0.74,5,0.0,2,0,0,2.0,0,uci_audit_office_post_audit_finding,not_flagged,easy,UCIA-0002:discrepancy-count;UCIA-0002:history;UCIA-0002:money-value;UCIA-0002:para-a;UCIA-0002:para-b;UCIA-0002:prior-screen;UCIA-0002:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0003,3,6,3.89,0.0,10.8,10.8,6,11.75,2,0,1,4.4,1,uci_audit_office_post_audit_finding,misstatement_value,standard,UCIA-0003:discrepancy-count;UCIA-0003:history;UCIA-0003:money-value;UCIA-0003:para-a;UCIA-0003:para-b;UCIA-0003:prior-screen;UCIA-0003:sector,development,uci-audit-v1,1.0.0
UCIA-0004,4,6,3.89,0.0,0.08,0.08,5,0.0,2,0,0,2.0,0,uci_audit_office_post_audit_finding,not_flagged,easy,UCIA-0004:discrepancy-count;UCIA-0004:history;UCIA-0004:money-value;UCIA-0004:para-a;UCIA-0004:para-b;UCIA-0004:prior-screen;UCIA-0004:sector,development,uci-audit-v1,1.0.0
UCIA-0005,5,6,3.89,0.0,0.83,0.83,5,2.95,2,0,0,2.0,0,uci_audit_office_post_audit_finding,not_flagged,easy,UCIA-0005:discrepancy-count;UCIA-0005:history;UCIA-0005:money-value;UCIA-0005:para-a;UCIA-0005:para-b;UCIA-0005:prior-screen;UCIA-0005:sector,development,uci-audit-v1,1.0.0
UCIA-0006,6,7,3.89,1.1,7.41,8.51,5,44.95,2,0,1,3.2,1,uci_audit_office_post_audit_finding,misstatement_value,borderline,UCIA-0006:discrepancy-count;UCIA-0006:history;UCIA-0006:money-value;UCIA-0006:para-a;UCIA-0006:para-b;UCIA-0006:prior-screen;UCIA-0006:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0007,7,8,3.89,8.5,12.03,20.53,5,7.79,2,0,1,4.2,1,uci_audit_office_post_audit_finding,unplanned_para_discrepancy,standard,UCIA-0007:discrepancy-count;UCIA-0007:history;UCIA-0007:money-value;UCIA-0007:para-a;UCIA-0007:para-b;UCIA-0007:prior-screen;UCIA-0007:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0008,8,8,3.89,8.4,11.05,19.45,5,7.34,2,0,1,4.2,1,uci_audit_office_post_audit_finding,unplanned_para_discrepancy,standard,UCIA-0008:discrepancy-count;UCIA-0008:history;UCIA-0008:money-value;UCIA-0008:para-a;UCIA-0008:para-b;UCIA-0008:prior-screen;UCIA-0008:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0009,9,8,3.89,3.98,0.99,4.97,5,1.93,2,0,1,2.4,0,uci_audit_office_post_audit_finding,cleared_after_flag,hard,UCIA-0009:discrepancy-count;UCIA-0009:history;UCIA-0009:money-value;UCIA-0009:para-a;UCIA-0009:para-b;UCIA-0009:prior-screen;UCIA-0009:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0010,10,8,3.89,5.43,10.77,16.2,5,4.42,2,0,1,3.6,1,uci_audit_office_post_audit_finding,unplanned_para_discrepancy,standard,UCIA-0010:discrepancy-count;UCIA-0010:history;UCIA-0010:money-value;UCIA-0010:para-a;UCIA-0010:para-b;UCIA-0010:prior-screen;UCIA-0010:sector,development,uci-audit-v1,1.0.0
UCIA-0011,11,8,3.89,15.38,40.14,55.52,5,0.96,2,1,1,4.0,1,uci_audit_office_post_audit_finding,unplanned_para_discrepancy,standard,UCIA-0011:discrepancy-count;UCIA-0011:history;UCIA-0011:money-value;UCIA-0011:para-a;UCIA-0011:para-b;UCIA-0011:prior-screen;UCIA-0011:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0012,12,8,3.89,5.47,7.63,13.1,5,10.43,2,1,1,3.6,1,uci_audit_office_post_audit_finding,misstatement_value,standard,UCIA-0012:discrepancy-count;UCIA-0012:history;UCIA-0012:money-value;UCIA-0012:para-a;UCIA-0012:para-b;UCIA-0012:prior-screen;UCIA-0012:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0013,13,8,3.89,1.09,0.35,1.44,5,0.0,2,0,1,2.2,0,uci_audit_office_post_audit_finding,cleared_after_flag,hard,UCIA-0013:discrepancy-count;UCIA-0013:history;UCIA-0013:money-value;UCIA-0013:para-a;UCIA-0013:para-b;UCIA-0013:prior-screen;UCIA-0013:sector,development,uci-audit-v1,1.0.0
UCIA-0014,14,8,3.89,0.0,0.84,0.84,5,0.007,2,0,0,2.0,0,uci_audit_office_post_audit_finding,not_flagged,easy,UCIA-0014:discrepancy-count;UCIA-0014:history;UCIA-0014:money-value;UCIA-0014:para-a;UCIA-0014:para-b;UCIA-0014:prior-screen;UCIA-0014:sector,evaluation,uci-audit-v1,1.0.0
UCIA-0015,15,13,3.89,1.95,9.01,10.96,5,9.0,2,0,1,3.0,1,uci_audit_office_post_audit_finding,unplanned_para_discrepancy,borderline,UCIA-0015:discrepancy-count;UCIA-0015:history;UCIA-0015:money-value;UCIA-0015:para-a;UCIA-0015:para-b;UCIA-0015:prior-screen;UCIA-0015:sector,development,uci-audit-v1,1.0.0
UCIA-0016,16,37,3.89,8.54,31.63,40.17,5,41.28,2,1,1,4.2,1,uci_audit_office_post_audit_finding,misstatement_value,standard,UCIA-0016:discrepancy-count;UCIA-0016:history;UCIA-0016:money-value;UCIA-0016:para-a;UCIA-0016:para-b;UCIA-0016:prior-screen;UCIA-0016:sector,development,uci-audit-v1,1.0.0
UCIA-0017,17,37,3.89,4.18,4.83,9.01,5,14.03,2,0,1,3.2,1,uci_audit_office_post_audit_finding,misstatement_value,standard,UCIA-0017:discrepancy-count;UCIA-0017:history;UCIA-0017:money-value;UCIA-0017:para-a;UCIA-0017:para-b;UCIA-0017:prior-screen;UCIA-0017:sector,evaluation,uci-audit-v1,1.0.0
